급수,한자,훈(뜻),음,,,,,,,,
8급,九,아홉,구,,,,,,,,
8급,金,쇠/성,금/김,,,,,,,,
8급,月,달,월,,,,,,,,
8급,二,두,이,,,,,,,,
8급,南,남녘,남,,,,,,,,
8급,男,사내,남,,,,,,,,
8급,女,여자,녀,,,,,,,,
8급,東,동녘,동,,,,,,,,
8급,六,여섯,륙,,,,,,,,
8급,母,어머니,모,,,,,,,,
8급,木,나무,목,,,,,,,,
8급,門,문,문,,,,,,,,
8급,人,사람,인,,,,,,,,
8급,日,날,일,,,,,,,,
8급,一,하나,일,,,,,,,,
8급,子,아들,자,,,,,,,,
8급,弟,아우,제,,,,,,,,
8급,七,일곱,칠,,,,,,,,
8급,八,여덟,팔,,,,,,,,
8급,土,흙,토,,,,,,,,
8급,兄,맏/형,형,,,,,,,,
8급,火,불,화,,,,,,,,
8급,父,아버지,부,,,,,,,,
8급,北,북녘,북,,,,,,,,
8급,四,넉,사,,,,,,,,
8급,三,석,삼,,,,,,,,
8급,西,서녘,서,,,,,,,,
8급,水,물,수,,,,,,,,
8급,十,열,십,,,,,,,,
8급,五,다섯,오,,,,,,,,
7급,江,강,강,,,,,,,,
7급,出,날,출,,,,,,,,
7급,下,아래,하,,,,,,,,
7급,內,안,내,,,,,,,,
7급,年,해,년,,,,,,,,
7급,大,큰,대,,,,,,,,
7급,目,눈,목,,,,,,,,
7급,白,흰,백,,,,,,,,
7급,山,메(산),산,,,,,,,,
7급,上,위,상,,,,,,,,
7급,小,작을,소,,,,,,,,
7급,手,손,수,,,,,,,,
7급,外,바깥,외,,,,,,,,
7급,右,오른,우,,,,,,,,
7급,入,들,입,,,,,,,,
7급,足,발,족,,,,,,,,
7급,左,왼,좌,,,,,,,,
7급,中,가운데,중,,,,,,,,
7급,靑,푸를,청,,,,,,,,
7급,口,입,구,,,,,,,,
6급,犬,개,견,,,,,,,,
6급,千,일천,천,,,,,,,,
6급,己,몸,기,,,,,,,,
6급,天,하늘,천,,,,,,,,
6급,林,수풀,림,,,,,,,,
6급,馬,말,마,,,,,,,,
6급,名,이름,명,,,,,,,,
6급,百,일백,백,,,,,,,,
6급,生,날,생,,,,,,,,
6급,石,돌,석,,,,,,,,
6급,先,먼저,선,,,,,,,,
6급,姓,성씨,성,,,,,,,,
6급,心,마음,심,,,,,,,,
6급,羊,양,양,,,,,,,,
6급,魚,물고기,어,,,,,,,,
6급,玉,구슬,옥,,,,,,,,
6급,牛,소,우,,,,,,,,
6급,耳,귀,이,,,,,,,,
6급,地,땅,지,,,,,,,,
6급,川,내,천,,,,,,,,
준5급,車,수레,거/차,,,,,,,,
준5급,巾,수건,건,,,,,,,,
준5급,食,먹을,식,,,,,,,,
준5급,央,가운데,앙,,,,,,,,
준5급,古,옛,고,,,,,,,,
준5급,工,장인,공,,,,,,,,
준5급,今,이제,금,,,,,,,,
준5급,同,한가지,동,,,,,,,,
준5급,力,힘,력,,,,,,,,
준5급,立,설,립,,,,,,,,
준5급,王,임금,왕,,,,,,,,
준5급,位,자리,위,,,,,,,,
준5급,衣,옷,의,,,,,,,,
준5급,字,글자,자,,,,,,,,
준5급,自,스스로,자,,,,,,,,
준5급,正,바를,정,,,,,,,,
준5급,末,끝,말,,,,,,,,
준5급,主,주인,주,,,,,,,,
준5급,文,글월,문,,,,,,,,
준5급,寸,마디,촌,,,,,,,,
준5급,方,모,방,,,,,,,,
준5급,向,향할,향,,,,,,,,
준5급,本,근본,본,,,,,,,,
준5급,休,쉴,휴,,,,,,,,
준5급,夫,지아비,부,,,,,,,,
준5급,不,아니,불/부,,,,,,,,
준5급,士,선비,사,,,,,,,,
준5급,夕,저녁,석,,,,,,,,
준5급,世,세상,세,,,,,,,,
준5급,少,적을,소,,,,,,,,
5급,歌,노래,가,,,,,,,,
5급,家,집,가,,,,,,,,
5급,各,각각,각,,,,,,,,
5급,間,사이,간,,,,,,,,
5급,强,강할,강,,,,,,,,
5급,開,열,개,,,,,,,,
5급,去,갈,거,,,,,,,,
5급,見,볼,견,,,,,,,,
5급,京,서울,경,,,,,,,,
5급,計,셀,계,,,,,,,,
5급,高,높을,고,,,,,,,,
5급,功,공,공,,,,,,,,
5급,空,빌,공,,,,,,,,
5급,共,함께,공,,,,,,,,
5급,科,과목,과,,,,,,,,
5급,光,빛,광,,,,,,,,
5급,敎,가르칠,교,,,,,,,,
5급,交,사귈,교,,,,,,,,
5급,校,학교,교,,,,,,,,
5급,區,나눌,구,,,,,,,,
5급,國,나라,국,,,,,,,,
5급,軍,군사,군,,,,,,,,
5급,近,가까울,근,,,,,,,,
5급,急,급할,급,,,,,,,,
5급,旗,기,기,,,,,,,,
5급,記,기록할,기,,,,,,,,
5급,氣,기운,기,,,,,,,,
5급,農,농사,농,,,,,,,,
5급,多,많을,다,,,,,,,,
5급,短,짧을,단,,,,,,,,
5급,答,대답,답,,,,,,,,
5급,當,마땅할,당,,,,,,,,
5급,對,대답할,대,,,,,,,,
5급,代,대신할,대,,,,,,,,
5급,道,길,도,,,,,,,,
5급,刀,칼,도,,,,,,,,
5급,讀,읽을,독,,,,,,,,
5급,冬,겨울,동,,,,,,,,
5급,洞,고을,동,,,,,,,,
5급,頭,머리,두,,,,,,,,
5급,等,무리,등,,,,,,,,
5급,登,오를,등,,,,,,,,
5급,樂,즐거울,락,,,,,,,,
5급,來,올,래,,,,,,,,
5급,老,늙을,로,,,,,,,,
5급,理,다스릴,리,,,,,,,,
5급,里,마을,리,,,,,,,,
5급,利,이로울,리,,,,,,,,
5급,萬,일만,만,,,,,,,,
5급,每,매양,매,,,,,,,,
5급,面,낯,면,,,,,,,,
5급,命,목숨,명,,,,,,,,
5급,明,밝을,명,,,,,,,,
5급,毛,털,모,,,,,,,,
5급,無,없을,무,,,,,,,,
5급,聞,들을,문,,,,,,,,
5급,問,물을,문,,,,,,,,
5급,物,물건,물,,,,,,,,
5급,米,쌀,미,,,,,,,,
5급,民,백성,민,,,,,,,,
5급,班,나눌,반,,,,,,,,
5급,半,절반,반,,,,,,,,
5급,放,놓을,방,,,,,,,,
5급,番,차례,번,,,,,,,,
5급,別,다를,별,,,,,,,,
5급,步,걸음,보,,,,,,,,
5급,部,거느릴,부,,,,,,,,
5급,分,나눌,분,,,,,,,,
5급,社,모일,사,,,,,,,,
5급,事,일,사,,,,,,,,
5급,死,죽을,사,,,,,,,,
5급,色,빛,색,,,,,,,,
5급,書,글,서,,,,,,,,
5급,線,줄,선,,,,,,,,
5급,性,성품,성,,,,,,,,
5급,成,이룰,성,,,,,,,,
5급,所,바,소,,,,,,,,
5급,首,머리,수,,,,,,,,
5급,詩,글,시,,,,,,,,
5급,時,때,시,,,,,,,,
5급,示,보일,시,,,,,,,,
5급,市,저자,시,,,,,,,,
5급,植,심을,식,,,,,,,,
5급,神,귀신,신,,,,,,,,
5급,身,몸,신,,,,,,,,
5급,信,믿을,신,,,,,,,,
5급,新,새로울,신,,,,,,,,
5급,室,집,실,,,,,,,,
5급,安,편안할,안,,,,,,,,
5급,夜,밤,야,,,,,,,,
5급,弱,약할,약,,,,,,,,
5급,語,말씀,어,,,,,,,,
5급,言,말씀,언,,,,,,,,
5급,永,길,영,,,,,,,,
5급,英,꽃부리,영,,,,,,,,
5급,午,낮,오,,,,,,,,
5급,用,쓸,용,,,,,,,,
5급,友,벗,우,,,,,,,,
5급,遠,멀,원,,,,,,,,
5급,原,"언덕,근본",원,,,,,,,,
5급,元,으뜸,원,,,,,,,,
5급,有,있을,유,,,,,,,,
5급,肉,고기,육,,,,,,,,
5급,育,기를,육,,,,,,,,
5급,銀,은,은,,,,,,,,
5급,音,소리,음,,,,,,,,
5급,邑,고을,읍,,,,,,,,
5급,意,뜻,의,,,,,,,,
5급,作,지을,작,,,,,,,,
5급,長,긴,장,,,,,,,,
5급,場,마당,장,,,,,,,,
5급,才,재주,재,,,,,,,,
5급,田,밭,전,,,,,,,,
5급,電,번개,전,,,,,,,,
5급,前,앞,전,,,,,,,,
5급,全,온전할,전,,,,,,,,
5급,朝,아침,조,,,,,,,,
5급,祖,할아비,조,,,,,,,,
5급,晝,낮,주,,,,,,,,
5급,住,살,주,,,,,,,,
5급,竹,대,죽,,,,,,,,
5급,重,무거울,중,,,,,,,,
5급,直,곧을,직,,,,,,,,
5급,草,풀,초,,,,,,,,
5급,村,마을,촌,,,,,,,,
5급,秋,가을,추,,,,,,,,
5급,春,봄,춘,,,,,,,,
5급,親,친할,친,,,,,,,,
5급,太,클,태,,,,,,,,
5급,通,통할,통,,,,,,,,
5급,貝,조개,패,,,,,,,,
5급,便,편할,편,,,,,,,,
5급,平,평평할,평,,,,,,,,
5급,夏,여름,하,,,,,,,,
5급,學,배울,학,,,,,,,,
5급,韓,나라이름,한,,,,,,,,
5급,漢,한수,한,,,,,,,,
5급,合,합할,합,,,,,,,,
5급,海,바다,해,,,,,,,,
5급,行,다닐,행,,,,,,,,
5급,血,피,혈,,,,,,,,
5급,形,모양,형,,,,,,,,
5급,花,꽃,화,,,,,,,,
5급,話,말씀,화,,,,,,,,
5급,和,"화할,화목할",화,,,,,,,,
5급,活,살,활,,,,,,,,
5급,黃,누를,황,,,,,,,,
5급,會,모일,회,,,,,,,,
5급,孝,효도,효,,,,,,,,
5급,後,뒤,후,,,,,,,,
